"title","genre_count"
"Dancer in the Dark","3"
"The Fifth Element","3"
"Pirates of the Caribbean: The Curse of the Black Pearl","3"
"Hero","3"
"Nausica� of the Valley of the Wind","3"
"Gladiator","3"
"Scarface","3"
"Charlie and the Chocolate Factory","3"
"The Lord of the Rings: The Fellowship of the Ring","3"
"The Lord of the Rings: The Two Towers","3"
"The Lord of the Rings: The Return of the King","3"
"The Lord of the Rings","4"
"Princess Mononoke","3"
"Spirited Away","4"
"Crouching Tiger, Hidden Dragon","3"
"48 Hrs.","3"
"The Wizard","3"
"Rumble Fish","4"
"King Kong","3"
"Zatoichi","3"
"The Killing","3"
"Inspector Gadget","3"
"Das Boot","3"
"Snow White and the Seven Dwarfs","3"
"Batman Forever","3"
"Batman & Robin","3"
"Ice Age","3"
"Shaft","3"
"Shaft","3"
"Shaft's Big Score!","3"
"Shaft in Africa","3"
"The Green Mile","3"
"Killing Zoe","3"
"The Blues Brothers","3"
"Ladyhawke","3"
"A Grand Day Out","3"
"Spider-Man 2","3"
"The Mummy","3"
"The Man Who Knew Too Much","3"
"Big Fish","3"
"E.T. the Extra-Terrestrial","3"
"The Bodyguard","3"
"The Wizard of Oz","3"
"Twister","3"
"Ben-Hur","3"
"Harry Potter and the Philosopher's Stone","3"
"Harry Potter and the Chamber of Secrets","3"
"Harry Potter and the Prisoner of Azkaban","3"
"Fantasia","3"
"Home Alone 2: Lost in New York","3"
"Shrek","4"
"Shrek 2","4"
"Aladdin","4"
"M","3"
"Willow","3"
"Krull","3"
"Who Framed Roger Rabbit","4"
"Planet of the Apes","3"
"Frank Herbert's Dune","3"
"Scarface","4"
"Hook","3"
"Bullitt","3"
"Rififi","3"
"Lethal Weapon","3"
"Lethal Weapon 2","3"
"Lethal Weapon 3","3"
"Lethal Weapon 4","3"
"Heat","3"
"The General","3"
"The Hidden Fortress","3"
"The Hobbit","3"
"City Slickers","3"
"1492: Conquest of Paradise","3"
"Cool as Ice","3"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","3"
"Teenage Mutant Ninja Turtles","3"
"Teenage Mutant Ninja Turtles III","4"
"Changing Lanes","3"
"Thelma & Louise","3"
"Chicago","4"
"It's a Wonderful Life","3"
"The Way of the Gun","3"
"Speed","3"
"The Net","3"
"Bill & Ted's Bogus Journey","3"
"State of Grace","3"
"Mothra vs. Godzilla","3"
"West Side Story","3"
"The Mummy Returns","3"
"Footloose","3"
"The Big Sleep","3"
"The Ewok Adventure","3"
"The 13th Warrior","3"
"Superman","3"
"Alexander","3"
"Lara Croft: Tomb Raider","3"
"Lara Croft Tomb Raider: The Cradle of Life","3"
"Two Brothers","3"
